,날짜,EC급액,EC배액,pH급액,pH배액,내부이산화탄소,평균온도,J/Day
1941,2021-12-05 06:00:00,,,,,,,428.0
1942,2021-12-05 07:00:00,,,,,,,428.0
1943,2021-12-05 08:00:00,,,,,,,428.0
1944,2021-12-05 09:00:00,,,,,,,428.0
1945,2021-12-05 10:00:00,,,,,,,428.0
1946,2021-12-05 11:00:00,,,,,,,428.0
1947,2021-12-05 12:00:00,,,,,,,428.0
1948,2021-12-05 13:00:00,,,,,,,428.0
1949,2021-12-05 14:00:00,,,,,,,428.0
1950,2021-12-05 15:00:00,,,,,,,428.0
1951,2021-12-05 16:00:00,,,,,,,428.0
1952,2021-12-05 17:00:00,,,,,,,428.0
1953,2021-12-05 18:00:00,,,,,,,428.0
1954,2021-12-05 19:00:00,,,,,,,428.0
1955,2021-12-05 20:00:00,,,,,,,428.0
1956,2021-12-05 21:00:00,,,,,,,428.0
1957,2021-12-05 22:00:00,,,,,,,428.0
1958,2021-12-05 23:00:00,,,,,,,533.3333333333334
1959,2021-12-06 00:00:00,,,,,,,1060.0
1960,2021-12-06 01:00:00,,,,,,,1060.0
1961,2021-12-06 02:00:00,,,,,,,1060.0
1962,2021-12-06 03:00:00,,,,,,,1060.0
1963,2021-12-06 04:00:00,,,,,,,1060.0
1964,2021-12-06 05:00:00,,,,,,,1060.0
1965,2021-12-06 06:00:00,,,,,,,1060.0
1966,2021-12-06 07:00:00,,,,,,,1060.0
1967,2021-12-06 08:00:00,,,,,,,1060.0
1968,2021-12-06 09:00:00,,,,,,,1060.0
1969,2021-12-06 10:00:00,,,,,,,1060.0
1970,2021-12-06 11:00:00,,,,,,,1060.0
1971,2021-12-06 12:00:00,,,,,,,1060.0
1972,2021-12-06 13:00:00,,,,,,,1060.0
1973,2021-12-06 14:00:00,,,,,,,1060.0
1974,2021-12-06 15:00:00,,,,,,,1060.0
1975,2021-12-06 16:00:00,,,,,,,1060.0
1976,2021-12-06 17:00:00,,,,,,,1060.0
1977,2021-12-06 18:00:00,,,,,,,1060.0
1978,2021-12-06 19:00:00,,,,,,,1060.0
1979,2021-12-06 20:00:00,,,,,,,1060.0
1980,2021-12-06 21:00:00,,,,,,,1060.0
1981,2021-12-06 22:00:00,,,,,,,1060.0
1982,2021-12-06 23:00:00,,,,,,,1041.0
1983,2021-12-07 00:00:00,,,,,,,946.0
1984,2021-12-07 01:00:00,,,,,,,946.0
1985,2021-12-07 02:00:00,,,,,,,946.0
1986,2021-12-07 03:00:00,,,,,,,946.0
1987,2021-12-07 04:00:00,,,,,,,946.0
1988,2021-12-07 05:00:00,,,,,,,946.0
1989,2021-12-07 06:00:00,,,,,,,946.0
1990,2021-12-07 07:00:00,,,,,,,946.0
1991,2021-12-07 08:00:00,,,,,,,946.0
1992,2021-12-07 09:00:00,,,,,,,946.0
1993,2021-12-07 10:00:00,,,,,,,946.0
1994,2021-12-07 11:00:00,,,,,,,946.0
1995,2021-12-07 12:00:00,,,,,,,946.0
1996,2021-12-07 13:00:00,,,,,,,946.0
1997,2021-12-07 14:00:00,,,,,,,946.0
1998,2021-12-07 15:00:00,,,,,,,946.0
1999,2021-12-07 16:00:00,,,,,,,946.0
2000,2021-12-07 17:00:00,,,,,,,946.0
2001,2021-12-07 18:00:00,,,,,,,946.0
2002,2021-12-07 19:00:00,,,,,,,946.0
2003,2021-12-07 20:00:00,,,,,,,946.0
2004,2021-12-07 21:00:00,,,,,,,946.0
2005,2021-12-07 22:00:00,,,,,,,946.0
2006,2021-12-07 23:00:00,,,,,,,961.1666666666666
2007,2021-12-08 00:00:00,,,,,,,1037.0
2008,2021-12-08 01:00:00,,,,,,,1037.0
2009,2021-12-08 02:00:00,,,,,,,1037.0
2010,2021-12-08 03:00:00,,,,,,,1037.0
2011,2021-12-08 04:00:00,,,,,,,1037.0
2012,2021-12-08 05:00:00,,,,,,,1037.0
2013,2021-12-08 06:00:00,,,,,,,1037.0
2014,2021-12-08 07:00:00,,,,,,,1037.0
2015,2021-12-08 08:00:00,,,,,,,1037.0
2016,2021-12-08 09:00:00,,,,,,,1037.0
2017,2021-12-08 10:00:00,,,,,,,1037.0
2018,2021-12-08 11:00:00,,,,,,,1037.0
2019,2021-12-08 12:00:00,,,,,,,1037.0
2020,2021-12-08 13:00:00,,,,,,,1037.0
2021,2021-12-08 14:00:00,,,,,,,1037.0
2022,2021-12-08 15:00:00,,,,,,,1037.0
2023,2021-12-08 16:00:00,,,,,,,1037.0
2024,2021-12-08 17:00:00,,,,,,,1037.0
2025,2021-12-08 18:00:00,,,,,,,1037.0
2026,2021-12-08 19:00:00,,,,,,,1037.0
2027,2021-12-08 20:00:00,,,,,,,1037.0
2028,2021-12-08 21:00:00,,,,,,,1037.0
2029,2021-12-08 22:00:00,,,,,,,1037.0
2030,2021-12-08 23:00:00,,,,,,,864.1666666666666
2031,2021-12-09 00:00:00,,,,,,,0.0
2032,2021-12-09 01:00:00,,,,,,,0.0
2033,2021-12-09 02:00:00,,,,,,,0.0
2034,2021-12-09 03:00:00,,,,,,,0.0
2035,2021-12-09 04:00:00,,,,,,,0.0
2036,2021-12-09 05:00:00,,,,,,,0.0
2037,2021-12-09 06:00:00,,,,,,,0.0
2038,2021-12-09 07:00:00,,,,,,,0.0
2039,2021-12-09 08:00:00,,,,,,,0.0
2040,2021-12-09 09:00:00,,,,,,,0.0
2041,2021-12-09 10:00:00,,,,,,,0.0
2042,2021-12-09 11:00:00,,,,,,,0.0
2043,2021-12-09 12:00:00,,,,,,,0.0
2044,2021-12-09 13:00:00,,,,,,,0.0
2045,2021-12-09 14:00:00,,,,,,,0.0
2046,2021-12-09 15:00:00,,,,,,,0.0
2047,2021-12-09 16:00:00,,,,,,,0.0
2048,2021-12-09 17:00:00,,,,,,,0.0
2049,2021-12-09 18:00:00,,,,,,,0.0
2050,2021-12-09 19:00:00,,,,,,,0.0
2051,2021-12-09 20:00:00,,,,,,,0.0
2052,2021-12-09 21:00:00,,,,,,,0.0
2053,2021-12-09 22:00:00,,,,,,,0.0
2054,2021-12-09 23:00:00,,,,,,,107.16666666666667
2055,2021-12-10 00:00:00,,,,,,,643.0
2056,2021-12-10 01:00:00,,,,,,,643.0
2057,2021-12-10 02:00:00,,,,,,,643.0
2058,2021-12-10 03:00:00,,,,,,,643.0
2059,2021-12-10 04:00:00,,,,,,,643.0
2060,2021-12-10 05:00:00,,,,,,,643.0
2061,2021-12-10 06:00:00,,,,,,,643.0
2062,2021-12-10 07:00:00,,,,,,,643.0
2063,2021-12-10 08:00:00,,,,,,,643.0
2064,2021-12-10 09:00:00,,,,,,,643.0
2065,2021-12-10 10:00:00,,,,,,,643.0
2066,2021-12-10 11:00:00,,,,,,,643.0
2067,2021-12-10 12:00:00,,,,,,,643.0
2068,2021-12-10 13:00:00,,,,,,,643.0
2069,2021-12-10 14:00:00,,,,,,,643.0
2070,2021-12-10 15:00:00,,,,,,,643.0
2071,2021-12-10 16:00:00,,,,,,,643.0
2072,2021-12-10 17:00:00,,,,,,,643.0
2073,2021-12-10 18:00:00,,,,,,,643.0
2074,2021-12-10 19:00:00,,,,,,,643.0
2075,2021-12-10 20:00:00,,,,,,,643.0
2076,2021-12-10 21:00:00,,,,,,,643.0
2077,2021-12-10 22:00:00,,,,,,,643.0
2078,2021-12-10 23:00:00,,,,,,,535.8333333333334
2079,2021-12-11 00:00:00,,,,,,,0.0
2080,2021-12-11 01:00:00,,,,,,,0.0
2081,2021-12-11 02:00:00,,,,,,,0.0
2082,2021-12-11 03:00:00,,,,,,,0.0
2083,2021-12-11 04:00:00,,,,,,,0.0
2084,2021-12-11 05:00:00,,,,,,,0.0
2085,2021-12-11 06:00:00,,,,,,,0.0
2086,2021-12-11 07:00:00,,,,,,,0.0
2087,2021-12-11 08:00:00,,,,,,,0.0
2088,2021-12-11 09:00:00,,,,,,,0.0
2089,2021-12-11 10:00:00,,,,,,,0.0
2090,2021-12-11 11:00:00,,,,,,,0.0
2091,2021-12-11 12:00:00,,,,,,,0.0
2092,2021-12-11 13:00:00,,,,,,,0.0
2093,2021-12-11 14:00:00,,,,,,,0.0
2094,2021-12-11 15:00:00,,,,,,,0.0
2095,2021-12-11 16:00:00,,,,,,,0.0
2096,2021-12-11 17:00:00,,,,,,,0.0
2097,2021-12-11 18:00:00,,,,,,,0.0
2098,2021-12-11 19:00:00,,,,,,,0.0
2099,2021-12-11 20:00:00,,,,,,,0.0
2100,2021-12-11 21:00:00,,,,,,,0.0
2101,2021-12-11 22:00:00,,,,,,,0.0
2102,2021-12-11 23:00:00,,,,,,,0.0
2103,2021-12-12 00:00:00,,,,,,,0.0
2104,2021-12-12 01:00:00,,,,,,,0.0
2105,2021-12-12 02:00:00,,,,,,,0.0
2106,2021-12-12 03:00:00,,,,,,,0.0
2107,2021-12-12 04:00:00,,,,,,,0.0
2108,2021-12-12 05:00:00,,,,,,,0.0
2109,2021-12-12 06:00:00,,,,,,,0.0
2110,2021-12-12 07:00:00,,,,,,,0.0
2111,2021-12-12 08:00:00,,,,,,,0.0
2112,2021-12-12 09:00:00,,,,,,,0.0
2113,2021-12-12 10:00:00,,,,,,,0.0
2114,2021-12-12 11:00:00,,,,,,,0.0
2115,2021-12-12 12:00:00,,,,,,,0.0
2116,2021-12-12 13:00:00,,,,,,,0.0
2117,2021-12-12 14:00:00,,,,,,,0.0
2118,2021-12-12 15:00:00,,,,,,,0.0
2119,2021-12-12 16:00:00,,,,,,,0.0
2120,2021-12-12 17:00:00,,,,,,,0.0
2121,2021-12-12 18:00:00,,,,,,,0.0
2122,2021-12-12 19:00:00,,,,,,,0.0
2123,2021-12-12 20:00:00,,,,,,,0.0
2124,2021-12-12 21:00:00,,,,,,,0.0
2125,2021-12-12 22:00:00,,,,,,,0.0
2126,2021-12-12 23:00:00,,,,,,,0.0
2127,2021-12-13 00:00:00,,,,,,,0.0
2128,2021-12-13 01:00:00,,,,,,,0.0
2129,2021-12-13 02:00:00,,,,,,,0.0
2130,2021-12-13 03:00:00,,,,,,,0.0
2131,2021-12-13 04:00:00,,,,,,,0.0
2132,2021-12-13 05:00:00,,,,,,,0.0
2133,2021-12-13 06:00:00,,,,,,,0.0
2134,2021-12-13 07:00:00,,,,,,,0.0
2135,2021-12-13 08:00:00,,,,,,,0.0
2136,2021-12-13 09:00:00,,,,,,,0.0
2137,2021-12-13 10:00:00,,,,,,,0.0
2138,2021-12-13 11:00:00,,,,,,,0.0
2139,2021-12-13 12:00:00,,,,,,,0.0
2140,2021-12-13 13:00:00,,,,,,,0.0
2141,2021-12-13 14:00:00,,,,,,,0.0
2142,2021-12-13 15:00:00,,,,,,,0.0
2143,2021-12-13 16:00:00,,,,,,,0.0
2144,2021-12-13 17:00:00,,,,,,,0.0
2145,2021-12-13 18:00:00,,,,,,,0.0
2146,2021-12-13 19:00:00,,,,,,,0.0
2147,2021-12-13 20:00:00,,,,,,,0.0
2148,2021-12-13 21:00:00,,,,,,,0.0
2149,2021-12-13 22:00:00,,,,,,,0.0
2150,2021-12-13 23:00:00,,,,,,,179.33333333333334
2151,2021-12-14 00:00:00,,,,,,,1076.0
2152,2021-12-14 01:00:00,,,,,,,1076.0
2153,2021-12-14 02:00:00,,,,,,,1076.0
2154,2021-12-14 03:00:00,,,,,,,1076.0
2155,2021-12-14 04:00:00,,,,,,,1076.0
2156,2021-12-14 05:00:00,,,,,,,1076.0
2157,2021-12-14 06:00:00,,,,,,,1076.0
2158,2021-12-14 07:00:00,,,,,,,1076.0
2159,2021-12-14 08:00:00,,,,,,,1076.0
2160,2021-12-14 09:00:00,,,,,,,1076.0
2161,2021-12-14 10:00:00,,,,,,,1076.0
2162,2021-12-14 11:00:00,,,,,,,1076.0
2163,2021-12-14 12:00:00,,,,,,,1076.0
2164,2021-12-14 13:00:00,,,,,,,1076.0
2165,2021-12-14 14:00:00,,,,,,,1076.0
2166,2021-12-14 15:00:00,,,,,,,1076.0
2167,2021-12-14 16:00:00,,,,,,,1076.0
2168,2021-12-14 17:00:00,,,,,,,1076.0
2169,2021-12-14 18:00:00,,,,,,,1076.0
2170,2021-12-14 19:00:00,,,,,,,1076.0
2171,2021-12-14 20:00:00,,,,,,,1076.0
2172,2021-12-14 21:00:00,,,,,,,1076.0
2173,2021-12-14 22:00:00,,,,,,,1076.0
2174,2021-12-14 23:00:00,,,,,,,896.6666666666666
2175,2021-12-15 00:00:00,,,,,,,0.0
2176,2021-12-15 01:00:00,,,,,,,0.0
2177,2021-12-15 02:00:00,,,,,,,0.0
2178,2021-12-15 03:00:00,,,,,,,0.0
2179,2021-12-15 04:00:00,,,,,,,0.0
2180,2021-12-15 05:00:00,,,,,,,0.0
2181,2021-12-15 06:00:00,,,,,,,0.0
2182,2021-12-15 07:00:00,,,,,,,0.0
2183,2021-12-15 08:00:00,,,,,,,0.0
2184,2021-12-15 09:00:00,,,,,,,0.0
2185,2021-12-15 10:00:00,,,,,,,0.0
2186,2021-12-15 11:00:00,,,,,,,0.0
2187,2021-12-15 12:00:00,,,,,,,0.0
2188,2021-12-15 13:00:00,,,,,,,0.0
2189,2021-12-15 14:00:00,,,,,,,0.0
2190,2021-12-15 15:00:00,,,,,,,0.0
2191,2021-12-15 16:00:00,,,,,,,0.0
2192,2021-12-15 17:00:00,,,,,,,0.0
2193,2021-12-15 18:00:00,,,,,,,0.0
2194,2021-12-15 19:00:00,,,,,,,0.0
2195,2021-12-15 20:00:00,,,,,,,0.0
2196,2021-12-15 21:00:00,,,,,,,0.0
2197,2021-12-15 22:00:00,,,,,,,0.0
2198,2021-12-15 23:00:00,,,,,,,168.0
2199,2021-12-16 00:00:00,,,,,,,1008.0
2200,2021-12-16 01:00:00,,,,,,,1008.0
2201,2021-12-16 02:00:00,,,,,,,1008.0
2202,2021-12-16 03:00:00,,,,,,,1008.0
2203,2021-12-16 04:00:00,,,,,,,1008.0
2204,2021-12-16 05:00:00,,,,,,,1008.0
2205,2021-12-16 06:00:00,,,,,,,1008.0
2206,2021-12-16 07:00:00,,,,,,,1008.0
2207,2021-12-16 08:00:00,,,,,,,1008.0
2208,2021-12-16 09:00:00,,,,,,,1008.0
2209,2021-12-16 10:00:00,,,,,,,1008.0
2210,2021-12-16 11:00:00,,,,,,,1008.0
2211,2021-12-16 12:00:00,,,,,,,1008.0
2212,2021-12-16 13:00:00,,,,,,,1008.0
2213,2021-12-16 14:00:00,,,,,,,1008.0
2214,2021-12-16 15:00:00,,,,,,,1008.0
2215,2021-12-16 16:00:00,,,,,,,1008.0
2216,2021-12-16 17:00:00,,,,,,,1008.0
2217,2021-12-16 21:00:00,,,,,,,1008.0
2218,2021-12-16 22:00:00,,,,,,,1008.0
2219,2021-12-16 23:00:00,,,,,,,907.5862068965517
2220,2021-12-17 00:00:00,,,,,,,280.0
2221,2021-12-17 01:00:00,,,,,,,280.0
2222,2021-12-17 02:00:00,,,,,,,280.0
2223,2021-12-17 03:00:00,,,,,,,280.0
2224,2021-12-17 04:00:00,,,,,,,280.0
2225,2021-12-17 05:00:00,,,,,,,280.0
2226,2021-12-17 06:00:00,,,,,,,280.0
2227,2021-12-17 07:00:00,,,,,,,280.0
2228,2021-12-17 08:00:00,,,,,,,280.0
2229,2021-12-17 09:00:00,,,,,,,280.0
2230,2021-12-17 10:00:00,,,,,,,280.0
2231,2021-12-17 11:00:00,,,,,,,280.0
2232,2021-12-17 12:00:00,,,,,,,280.0
2233,2021-12-17 13:00:00,,,,,,,280.0
2234,2021-12-17 14:00:00,,,,,,,280.0
2235,2021-12-17 15:00:00,,,,,,,280.0
2236,2021-12-17 16:00:00,,,,,,,280.0
2237,2021-12-17 17:00:00,,,,,,,280.0
2238,2021-12-17 18:00:00,,,,,,,280.0
2239,2021-12-17 19:00:00,,,,,,,280.0
2240,2021-12-17 20:00:00,,,,,,,280.0
2241,2021-12-17 21:00:00,,,,,,,280.0
2242,2021-12-17 22:00:00,,,,,,,280.0
2243,2021-12-17 23:00:00,,,,,,,314.0
2244,2021-12-18 00:00:00,,,,,,,484.0
2245,2021-12-18 01:00:00,,,,,,,484.0
2246,2021-12-18 02:00:00,,,,,,,484.0
2247,2021-12-18 03:00:00,,,,,,,484.0
2248,2021-12-18 04:00:00,,,,,,,484.0
2249,2021-12-18 05:00:00,,,,,,,484.0
2250,2021-12-18 06:00:00,,,,,,,484.0
2251,2021-12-18 07:00:00,,,,,,,484.0
2252,2021-12-18 08:00:00,,,,,,,484.0
2253,2021-12-18 09:00:00,,,,,,,484.0
2254,2021-12-18 10:00:00,,,,,,,484.0
2255,2021-12-18 11:00:00,,,,,,,484.0
2256,2021-12-18 12:00:00,,,,,,,484.0
2257,2021-12-18 13:00:00,,,,,,,484.0
2258,2021-12-18 14:00:00,,,,,,,484.0
2259,2021-12-18 15:00:00,,,,,,,484.0
2260,2021-12-18 16:00:00,,,,,,,484.0
2261,2021-12-18 17:00:00,,,,,,,484.0
2262,2021-12-18 18:00:00,,,,,,,484.0
2263,2021-12-18 19:00:00,,,,,,,484.0
2264,2021-12-18 20:00:00,,,,,,,484.0
2265,2021-12-18 21:00:00,,,,,,,484.0
2266,2021-12-18 22:00:00,,,,,,,484.0
2267,2021-12-18 23:00:00,,,,,,,576.6666666666666
2268,2021-12-19 00:00:00,,,,,,,1040.0
2269,2021-12-19 01:00:00,,,,,,,1040.0
2270,2021-12-19 02:00:00,,,,,,,1040.0
2271,2021-12-19 03:00:00,,,,,,,1040.0
2272,2021-12-19 04:00:00,,,,,,,1040.0
2273,2021-12-19 05:00:00,,,,,,,1040.0
2274,2021-12-19 06:00:00,,,,,,,1040.0
2275,2021-12-19 07:00:00,,,,,,,1040.0
2276,2021-12-19 08:00:00,,,,,,,1040.0
2277,2021-12-19 09:00:00,,,,,,,1040.0
2278,2021-12-19 10:00:00,,,,,,,1040.0
2279,2021-12-19 11:00:00,,,,,,,1040.0
2280,2021-12-19 12:00:00,,,,,,,1040.0
2281,2021-12-19 13:00:00,,,,,,,1040.0
2282,2021-12-19 14:00:00,,,,,,,1040.0
2283,2021-12-19 15:00:00,,,,,,,1040.0
2284,2021-12-19 16:00:00,,,,,,,1040.0
2285,2021-12-19 17:00:00,,,,,,,1040.0
2286,2021-12-19 18:00:00,,,,,,,1040.0
2287,2021-12-19 19:00:00,,,,,,,1040.0
2288,2021-12-19 20:00:00,,,,,,,1040.0
2289,2021-12-19 21:00:00,,,,,,,1040.0
2290,2021-12-19 22:00:00,,,,,,,1040.0
2291,2021-12-19 23:00:00,,,,,,,866.6666666666666
2292,2021-12-20 00:00:00,,,,,,,0.0
2293,2021-12-20 01:00:00,,,,,,,0.0
2294,2021-12-20 02:00:00,,,,,,,0.0
2295,2021-12-20 03:00:00,,,,,,,0.0
2296,2021-12-20 04:00:00,,,,,,,0.0
2297,2021-12-20 05:00:00,,,,,,,0.0
2298,2021-12-20 06:00:00,,,,,,,0.0
2299,2021-12-20 07:00:00,,,,,,,0.0
2300,2021-12-20 08:00:00,,,,,,,0.0
2301,2021-12-20 09:00:00,,,,,,,0.0
2302,2021-12-20 10:00:00,,,,,,,0.0
2303,2021-12-20 11:00:00,,,,,,,0.0
2304,2021-12-20 12:00:00,,,,,,,0.0
2305,2021-12-20 13:00:00,,,,,,,0.0
2306,2021-12-20 14:00:00,,,,,,,0.0
2307,2021-12-20 15:00:00,,,,,,,0.0
2308,2021-12-20 16:00:00,,,,,,,0.0
2309,2021-12-20 17:00:00,,,,,,,0.0
2310,2021-12-20 18:00:00,,,,,,,0.0
2311,2021-12-20 19:00:00,,,,,,,0.0
2312,2021-12-20 20:00:00,,,,,,,0.0
2313,2021-12-20 21:00:00,,,,,,,0.0
2314,2021-12-20 22:00:00,,,,,,,0.0
2315,2021-12-20 23:00:00,,,,,,,94.83333333333333
2316,2021-12-21 00:00:00,,,,,,,569.0
2317,2021-12-21 01:00:00,,,,,,,569.0
2318,2021-12-21 02:00:00,,,,,,,569.0
2319,2021-12-21 03:00:00,,,,,,,569.0
2320,2021-12-21 04:00:00,,,,,,,569.0
2321,2021-12-21 05:00:00,,,,,,,569.0
2322,2021-12-21 06:00:00,,,,,,,569.0
2323,2021-12-21 07:00:00,,,,,,,569.0
2324,2021-12-21 08:00:00,,,,,,,569.0
2325,2021-12-21 09:00:00,,,,,,,569.0
2326,2021-12-21 10:00:00,,,,,,,569.0
2327,2021-12-21 11:00:00,,,,,,,569.0
2328,2021-12-21 12:00:00,,,,,,,569.0
2329,2021-12-21 13:00:00,,,,,,,569.0
2330,2021-12-21 14:00:00,,,,,,,569.0
2331,2021-12-21 15:00:00,,,,,,,569.0
2332,2021-12-21 16:00:00,,,,,,,569.0
2333,2021-12-21 17:00:00,,,,,,,569.0
2334,2021-12-21 18:00:00,,,,,,,569.0
2335,2021-12-21 19:00:00,,,,,,,569.0
2336,2021-12-21 20:00:00,,,,,,,569.0
2337,2021-12-21 21:00:00,,,,,,,569.0
2338,2021-12-21 22:00:00,,,,,,,569.0
2339,2021-12-21 23:00:00,,,,,,,589.0
2340,2021-12-22 00:00:00,,,,,,,719.0
2341,2021-12-22 01:00:00,,,,,,,719.0
2342,2021-12-22 02:00:00,,,,,,,719.0
2343,2021-12-22 03:00:00,,,,,,,719.0
2344,2021-12-22 04:00:00,,,,,,,719.0
2345,2021-12-22 05:00:00,,,,,,,719.0
2346,2021-12-22 06:00:00,,,,,,,719.0
2347,2021-12-22 07:00:00,,,,,,,719.0
2348,2021-12-22 08:00:00,,,,,,,719.0
2349,2021-12-22 09:00:00,,,,,,,719.0
2350,2021-12-22 10:00:00,,,,,,,719.0
2351,2021-12-22 11:00:00,,,,,,,719.0
2352,2021-12-22 12:00:00,,,,,,,719.0
2353,2021-12-22 13:00:00,,,,,,,719.0
2354,2021-12-22 14:00:00,,,,,,,719.0
2355,2021-12-22 15:00:00,,,,,,,719.0
2356,2021-12-22 16:00:00,,,,,,,719.0
2357,2021-12-22 17:00:00,,,,,,,719.0
2358,2021-12-22 18:00:00,,,,,,,719.0
2359,2021-12-22 19:00:00,,,,,,,719.0
2360,2021-12-22 20:00:00,,,,,,,719.0
2361,2021-12-22 21:00:00,,,,,,,719.0
2362,2021-12-22 22:00:00,,,,,,,719.0
2363,2021-12-22 23:00:00,,,,,,,623.1333333333333
2364,2021-12-23 00:00:00,,,,,,,0.0
2365,2021-12-23 01:00:00,,,,,,,0.0
2366,2021-12-23 02:00:00,,,,,,,0.0
2367,2021-12-23 03:00:00,,,,,,,0.0
2368,2021-12-23 04:00:00,,,,,,,0.0
2369,2021-12-23 05:00:00,,,,,,,0.0
2370,2021-12-23 06:00:00,,,,,,,0.0
2371,2021-12-23 07:00:00,,,,,,,0.0
2372,2021-12-23 08:00:00,,,,,,,0.0
2373,2021-12-23 09:00:00,,,,,,,0.0
2374,2021-12-23 10:00:00,,,,,,,0.0
2375,2021-12-23 11:00:00,,,,,,,0.0
2376,2021-12-23 12:00:00,,,,,,,0.0
2377,2021-12-23 13:00:00,,,,,,,0.0
2378,2021-12-23 14:00:00,,,,,,,0.0
2379,2021-12-23 15:00:00,,,,,,,0.0
2380,2021-12-23 16:00:00,,,,,,,0.0
2381,2021-12-23 17:00:00,,,,,,,0.0
2382,2021-12-23 18:00:00,,,,,,,0.0
2383,2021-12-23 19:00:00,,,,,,,0.0
2384,2021-12-23 20:00:00,,,,,,,0.0
2385,2021-12-23 21:00:00,,,,,,,0.0
2386,2021-12-23 22:00:00,,,,,,,0.0
2387,2021-12-23 23:00:00,,,,,,,128.0
2388,2021-12-24 00:00:00,,,,,,,960.0
2389,2021-12-24 01:00:00,,,,,,,960.0
2390,2021-12-24 02:00:00,,,,,,,960.0
2391,2021-12-24 03:00:00,,,,,,,960.0
2392,2021-12-24 04:00:00,,,,,,,960.0
2393,2021-12-24 05:00:00,,,,,,,960.0
2394,2021-12-24 06:00:00,,,,,,,960.0
2395,2021-12-24 07:00:00,,,,,,,960.0
2396,2021-12-24 08:00:00,,,,,,,960.0
2397,2021-12-24 09:00:00,,,,,,,960.0
2398,2021-12-24 10:00:00,,,,,,,960.0
2399,2021-12-24 11:00:00,,,,,,,960.0
2400,2021-12-24 12:00:00,,,,,,,960.0
2401,2021-12-24 13:00:00,,,,,,,960.0
2402,2021-12-24 14:00:00,,,,,,,960.0
2403,2021-12-24 15:00:00,,,,,,,960.0
2404,2021-12-24 16:00:00,,,,,,,960.0
2405,2021-12-24 17:00:00,,,,,,,960.0
2406,2021-12-24 18:00:00,,,,,,,960.0
2407,2021-12-24 19:00:00,,,,,,,960.0
2408,2021-12-24 20:00:00,,,,,,,960.0
2409,2021-12-24 21:00:00,,,,,,,960.0
2410,2021-12-24 22:00:00,,,,,,,960.0
2411,2021-12-24 23:00:00,,,,,,,935.2
2412,2021-12-25 00:00:00,,,,,,,774.0
2413,2021-12-25 01:00:00,,,,,,,774.0
2414,2021-12-25 02:00:00,,,,,,,774.0
2415,2021-12-25 03:00:00,,,,,,,774.0
2416,2021-12-25 04:00:00,,,,,,,774.0
2417,2021-12-25 05:00:00,,,,,,,774.0
2418,2021-12-25 06:00:00,,,,,,,774.0
2419,2021-12-25 07:00:00,,,,,,,774.0
2420,2021-12-25 08:00:00,,,,,,,774.0
2421,2021-12-25 09:00:00,,,,,,,774.0
2422,2021-12-25 10:00:00,,,,,,,774.0
2423,2021-12-25 11:00:00,,,,,,,774.0
2424,2021-12-25 12:00:00,,,,,,,774.0
2425,2021-12-25 13:00:00,,,,,,,774.0
2426,2021-12-25 14:00:00,,,,,,,774.0
2427,2021-12-25 15:00:00,,,,,,,774.0
2428,2021-12-25 16:00:00,,,,,,,774.0
2429,2021-12-25 17:00:00,,,,,,,774.0
2430,2021-12-25 18:00:00,,,,,,,774.0
2431,2021-12-25 19:00:00,,,,,,,774.0
2432,2021-12-25 20:00:00,,,,,,,774.0
2433,2021-12-25 21:00:00,,,,,,,774.0
2434,2021-12-25 22:00:00,,,,,,,774.0
2435,2021-12-25 23:00:00,,,,,,,813.0666666666667
2436,2021-12-26 00:00:00,,,,,,,1067.0
2437,2021-12-26 01:00:00,,,,,,,1067.0
2438,2021-12-26 02:00:00,,,,,,,1067.0
2439,2021-12-26 03:00:00,,,,,,,1067.0
2440,2021-12-26 04:00:00,,,,,,,1067.0
2441,2021-12-26 05:00:00,,,,,,,1067.0
2442,2021-12-26 06:00:00,,,,,,,1067.0
2443,2021-12-26 07:00:00,,,,,,,1067.0
2444,2021-12-26 08:00:00,,,,,,,1067.0
2445,2021-12-26 09:00:00,,,,,,,1067.0
2446,2021-12-26 10:00:00,,,,,,,1067.0
2447,2021-12-26 11:00:00,,,,,,,1067.0
2448,2021-12-26 12:00:00,,,,,,,1067.0
2449,2021-12-26 13:00:00,,,,,,,1067.0
2450,2021-12-26 14:00:00,,,,,,,1067.0
2451,2021-12-26 15:00:00,,,,,,,1067.0
2452,2021-12-26 16:00:00,,,,,,,1067.0
2453,2021-12-26 17:00:00,,,,,,,1067.0
2454,2021-12-26 18:00:00,,,,,,,1067.0
2455,2021-12-26 19:00:00,,,,,,,1067.0
2456,2021-12-26 20:00:00,,,,,,,1067.0
2457,2021-12-26 21:00:00,,,,,,,1067.0
2458,2021-12-26 22:00:00,,,,,,,1067.0
2459,2021-12-26 23:00:00,,,,,,,1067.2666666666667
2460,2021-12-27 00:00:00,,,,,,,1069.0
2461,2021-12-27 01:00:00,,,,,,,1069.0
2462,2021-12-27 02:00:00,,,,,,,1069.0
2463,2021-12-27 03:00:00,,,,,,,1069.0
2464,2021-12-27 04:00:00,,,,,,,1069.0
2465,2021-12-27 05:00:00,,,,,,,1069.0
2466,2021-12-27 06:00:00,,,,,,,1069.0
2467,2021-12-27 07:00:00,,,,,,,1069.0
2468,2021-12-27 08:00:00,,,,,,,1069.0
